feature,mean_abs_shap
tp3_avg_6h,23.396074274968353
reservoir_avg_6h,19.105984961532933
motor_current_avg_6h,10.343679351942981
reservoir_avg_1h,6.4371314624231
tp3_avg_1h,6.187800570938342
motor_current_std_6h,5.301777228608698
motor_current_long_trend,5.186575758889417
anomaly_score,4.575530734191696
motor_current_mean,4.521091445753083
motor_current_zscore_6h,4.119626114060607
motor_current_avg_1h,3.800007134111933
anomaly_percentile,2.0963104450652126
pressure_switch_active_rate,1.9763875650316705
oil_temp_zscore_6h,1.8989800126902325
tp3_mean,1.8116458532522446
oil_temp_std_1h,1.6390007425340927
tp3_zscore_6h,1.4567658431261763
motor_current_std_1h,1.340495906826509
reservoir_zscore_6h,1.2331117372237148
reservoir_deviation_6h,1.2327648626973502
reservoir_std_6h,1.1353029890002262
oil_temp_std_6h,1.0090587318265303
compressor_activity_6h,0.9329282131073426
reservoir_std_1h,0.7542291646745796
oil_temp_deviation_6h,0.7440211301116503
compressor_activity_1h,0.6887782965549959
reservoirs_mean,0.5424127546527481
flow_std_6h,0.4955452943611802
oil_temp_long_trend,0.4948430793411038
motor_current_short_trend,0.47952056710340385
tp3_std_6h,0.47881987140624055
tp3_std_1h,0.38856085805956464
tp3_long_trend,0.37313232917982275
pressure_balance_gap,0.35866925558528995
oil_temp_short_trend,0.3557084195927471
oil_temperature_mean,0.3442690191911377
anomaly_flag,0.30207237122246733
flowmeter_mean,0.20789597434642929
oil_level_active_rate,0.2041140090934585
tp3_std,0.1960132930493329
flow_deviation_6h,0.1951466047065765
flow_avg_1h,0.1910130347555473
comp_active_rate,0.18808792039830163
tp2_mean,0.17220630791491634
motor_current_std,0.12323552636425025
tp3_short_trend,0.11611057148286352
tp2_std,0.10064241895899959
oil_temp_avg_6h,0.09769527748540395
flow_std_1h,0.08585356838918297
compressor_activity_change,0.08205952071363694
flow_zscore_6h,0.07674282685646992
flowmeter_std,0.062059207740587596
oil_temp_avg_1h,0.058472274096505385
reservoirs_std,0.054027888644625134
flow_avg_6h,0.048613978321322686
oil_temperature_std,0.03078718190589738
lps_active_rate,0.0
