feature,baseline_mean,production_mean,baseline_std,production_std,psi,drift_level,ks_statistic,ks_pvalue
oil_temp_std_1h,2.8726032367762895,1.5008940547695617,0.6112943636567894,0.45076267505066675,4.858136137986554,High,0.8067588419577655,0.0
motor_current_avg_6h,1.4156466035736226,1.2149775311125535,0.2997200315477452,0.1956127383258143,1.1034332955029837,High,0.4067213958046717,0.0
motor_current_std_6h,1.9449732044251675,1.865805224108006,0.11794890263811786,0.09670923529547439,1.0820823531040356,High,0.4083277830139078,0.0
motor_current_mean,1.4166101583260435,1.2314795972245067,1.9714377308280833,1.8871342096993025,0.5962166824935168,High,0.30762885767599435,0.0
anomaly_percentile,50.001161305307164,66.89595540674226,28.867849823768324,22.93999749410359,0.5301302094229721,High,0.25356496205882734,0.0
anomaly_score,0.4362801942813413,0.4583213789852388,0.03956795120750849,0.03803674039951753,0.530049211349853,High,0.25361141427111394,0.0
oil_temperature_mean,57.037670611953246,56.32584986429249,4.6754092962956415,3.2067000989681245,0.30718538523875605,High,0.16738113881994088,0.0
tp3_avg_6h,8.974186563062638,8.956791389527377,0.03905076732251008,0.04968906551530207,0.24193172692916598,Moderate,0.18856537135686635,0.0
reservoir_avg_6h,8.975882710218055,8.958967045506952,0.03920209935786853,0.04971678319565785,0.2334764314588674,Moderate,0.18309357664899148,0.0
oil_temp_long_trend,0.09610066249087894,0.2708028823867422,2.3056755447485506,1.7197490914073184,0.17436432567130275,Moderate,0.08869803376368143,3.618478493206345e-112
tp3_std_1h,0.5449487474274285,0.5318705574322399,0.04611062466625392,0.05441825515411812,0.09389490013321405,Stable,0.10674242054750921,2.225221677299557e-162
tp3_mean,8.973645218315644,8.954499642742029,0.5561875295471383,0.5468281018356792,0.003491450160480433,Stable,0.01786592523878594,5.901226033566896e-05
reservoirs_mean,8.975319739542162,8.956657165509323,0.5557034458091061,0.5462499384760793,0.0033153712374213553,Stable,0.017863941272257766,5.914905367185892e-05
flow_deviation_6h,-2.0510170890967865e-05,0.02255418149509742,0.0006788541695826136,0.5712444087532984,1.0179747651286571e-05,Stable,0.04378121008013006,1.27602237640965e-27
flowmeter_mean,0.25002048569750185,0.2829842688316101,0.000584102421356718,0.8242173091683807,0.0,Stable,0.0016361007533672867,0.9999999999908579
