alert_episode_id,episode_start,episode_end,max_priority_score,peak_early_warning_score,peak_near_failure_score,peak_anomaly_percentile,observations,failure_related
1,2022-07-04 04:04:00,2022-07-04 08:08:00,94.3,0.9915861365248825,0.4353491857481437,97.72,112,0
2,2022-07-10 11:20:00,2022-07-10 16:51:00,64.1,0.9998078051682137,0.009386932411208509,98.98,219,1
3,2022-07-11 09:28:00,2022-07-11 10:10:00,100.0,0.9999999885262277,0.58,100.0,43,1
4,2022-07-15 19:35:00,2022-07-16 09:41:00,95.7,0.987882775608843,0.33169969341553945,97.87,597,0
5,2022-07-17 09:25:00,2022-07-17 10:16:00,47.5,0.009863491795485515,0.18840751039785086,86.59,11,0
6,2022-07-18 00:44:00,2022-07-18 06:52:00,63.5,0.9940682775946826,0.07392515937727287,97.51,322,0
7,2022-07-19 02:19:00,2022-07-19 07:10:00,65.9,0.9974056467398081,0.0506438144484234,96.73,235,0
8,2022-07-21 01:45:00,2022-07-21 07:37:00,68.2,0.8900037996481154,0.21953943484168784,99.43,176,0
9,2022-07-22 00:37:00,2022-07-22 01:11:00,34.7,0.5709945671216777,0.0,44.81,2,0
10,2022-07-22 02:20:00,2022-07-22 06:14:00,63.8,0.8798711604447602,0.11603339805210729,94.3,49,0
11,2022-07-24 23:00:00,2022-07-25 06:19:00,90.9,0.9920542492528592,0.20372226157125464,98.17,283,0
12,2022-07-25 13:57:00,2022-07-25 15:12:00,62.5,0.9822929774857803,0.001947211311861744,97.35,8,0
13,2022-07-26 15:59:00,2022-07-26 16:02:00,36.7,0.6057136104468239,0.002,66.0,4,0
14,2022-07-28 03:39:00,2022-07-28 06:15:00,43.6,0.024365191803729664,0.1383533653820093,95.09,19,0
