horizon,model,train_rows,train_positive,test_rows,test_positive,threshold,pr_auc,roc_auc,precision,recall,f1,alert_rate_percent,false_alert_rate_percent,failure_window_alert_percent,first_warning_hours
12h,Logistic Regression,56151,720,26282,222,0.5405383093554638,0.19905328848045378,0.45165989089626846,0.0278137128072445,0.19369369369369369,0.048642533936651584,5.88235294117647,5.767459708365311,19.36936936936937,0.7052633333333332
12h,Random Forest,56151,720,26282,222,0.027900859286350187,0.11922364785072664,0.4889952500466698,0.027777777777777776,0.19369369369369369,0.04858757062146893,5.889962712122365,5.7751343054489634,19.36936936936937,0.7052633333333332
12h,LightGBM,56151,720,26282,222,2.908901055022326e-08,0.10409104054455229,0.3406774387587894,0.03161764705882353,0.19369369369369369,0.05436156763590392,5.17464424320828,5.053722179585572,19.36936936936937,0.7052633333333332
12h,XGBoost,56151,720,26282,222,0.0001935474865604192,0.08455925115630458,0.3551893412983206,0.028956228956228958,0.19369369369369369,0.05038078500292911,5.650254927326688,5.533384497313891,19.36936936936937,0.7052633333333332
24h,Logistic Regression,56151,907,26282,942,0.49900616294901473,0.20207697854472478,0.713917725305275,0.14612381483547127,0.2781316348195329,0.19159049360146252,6.822159652994444,6.041831097079716,27.81316348195329,22.838596666666668
24h,Random Forest,56151,907,26282,942,0.034861585762664106,0.06434598919232183,0.5996819685399584,0.027885862516212712,0.045647558386411886,0.03462157809983897,5.867133399284682,5.915548539857932,4.564755838641188,0.7052633333333332
24h,LightGBM,56151,907,26282,942,1.0353483806802608e-08,0.056573031939200547,0.5511301082350102,0.03334968121628249,0.07218683651804671,0.04562227440456223,7.7581614793394715,7.778216258879242,7.218683651804671,22.955263333333335
24h,XGBoost,56151,907,26282,942,0.00012686126865446568,0.056017236387967254,0.6028502598209992,0.03365143144148669,0.07112526539278131,0.045687009887487216,7.5755269766380025,7.592738752959748,7.112526539278131,22.988596666666666
6h,Random Forest,56151,360,26282,43,0.08900696371083161,1.0,1.0000000000000002,0.10361445783132531,1.0,0.18777292576419213,1.579027471273115,1.4177369564388886,100.0,0.7052633333333332
6h,Logistic Regression,56151,360,26282,43,0.9238021716877742,0.5788231964108961,0.9928076172783812,0.08333333333333333,0.8604651162790697,0.15195071868583163,1.6893691499885855,1.5511261862113648,86.04651162790698,0.7052633333333332
6h,XGBoost,56151,360,26282,43,0.005420926492661238,0.05469433616501965,0.9865290172537418,0.07654320987654321,0.7209302325581395,0.13839285714285715,1.5409786165436419,1.425359198140173,72.09302325581395,0.6885966666666666
6h,LightGBM,56151,360,26282,43,2.103675632681185e-05,0.041525124651630343,0.9815142912600363,0.0,0.0,0.0,1.1719047256677575,1.1738252219977894,0.0,
