feature,feature_value,shap_value,absolute_impact,alert_timestamp,failure_probability,hours_before_failure
motor_current_avg_6h,1.400262719971899,-0.09139123318721575,0.09139123318721575,2022-07-11 09:28:00,0.56,0.7052633333333332
compressor_activity_6h,0.9306237827821582,-0.08581839486747278,0.08581839486747278,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_std_6h,1.9566105874253907,-0.06508118720715493,0.06508118720715493,2022-07-11 09:28:00,0.56,0.7052633333333332
pressure_switch_active_rate,0.0,0.04969532054014409,0.04969532054014409,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_level_active_rate,0.0,0.047723813644726734,0.047723813644726734,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_deviation_6h,21.198668288609436,0.04650867532908754,0.04650867532908754,2022-07-11 09:28:00,0.56,0.7052633333333332
flowmeter_mean,26.86738489583333,0.043624675810548186,0.043624675810548186,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_avg_1h,20.13960963898594,0.04352913263994732,0.04352913263994732,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_std_6h,8.950151820587129,0.03931938440305055,0.03931938440305055,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_std_1h,2.794183485523975,0.03361561424238336,0.03361561424238336,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_avg_6h,5.668716607223893,0.031554036682215805,0.031554036682215805,2022-07-11 09:28:00,0.56,0.7052633333333332
flow_zscore_6h,2.3685261114619625,0.03147048004839948,0.03147048004839948,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_std_6h,6.415195466950835,-0.026846190753301115,0.026846190753301115,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_avg_6h,54.926441084111104,-0.02354133705244437,0.02354133705244437,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_std_6h,0.5230302338271656,-0.015529674528767478,0.015529674528767478,2022-07-11 09:28:00,0.56,0.7052633333333332
anomaly_percentile,100.0,0.013664226122535766,0.013664226122535766,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_std_6h,0.5228076997881618,-0.013342013998779639,0.013342013998779639,2022-07-11 09:28:00,0.56,0.7052633333333332
anomaly_flag,1.0,0.010007394682248495,0.010007394682248495,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_avg_1h,63.011849637194295,-0.009804667964136113,0.009804667964136113,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_zscore_6h,1.7788136462765347,0.00835777966570861,0.00835777966570861,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_long_trend,8.085408553083191,0.007326445641969692,0.007326445641969692,2022-07-11 09:28:00,0.56,0.7052633333333332
anomaly_score,0.6264451342107277,0.007214091071102498,0.007214091071102498,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_avg_6h,8.987666628014052,-0.005317306026719091,0.005317306026719091,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_deviation_6h,5.175642249222221,-0.004497801245818562,0.004497801245818562,2022-07-11 09:28:00,0.56,0.7052633333333332
flowmeter_std,5.83514369447787,0.004039731384265407,0.004039731384265407,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_avg_6h,8.986930161985425,-0.004000689034249673,0.004000689034249673,2022-07-11 09:28:00,0.56,0.7052633333333332
compressor_activity_change,-0.03371882891670974,0.003217540557126338,0.003217540557126338,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_std_1h,4.939591590603917,-0.0027788712865882046,0.0027788712865882046,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temperature_mean,60.102083333333326,-0.002674420857743582,0.002674420857743582,2022-07-11 09:28:00,0.56,0.7052633333333332
tp2_mean,6.826700000000001,-0.0025693242378082774,0.0025693242378082774,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_avg_1h,1.893252273134461,-0.00195431041970807,0.00195431041970807,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_std_1h,2.0896295142435366,-0.001852936469199036,0.001852936469199036,2022-07-11 09:28:00,0.56,0.7052633333333332
compressor_activity_1h,0.8969049538654484,-0.0016221854520536067,0.0016221854520536067,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoirs_std,0.34014698250751735,-0.0005358504381103733,0.0005358504381103733,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_mean,4.880708333333331,-0.0005200479866010791,0.0005200479866010791,2022-07-11 09:28:00,0.56,0.7052633333333332
tp2_std,3.561441184408356,-0.0003816419105314626,0.0003816419105314626,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_mean,8.358666666666668,-0.00027194836061025714,0.00027194836061025714,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_std_1h,0.5835557895555801,-0.0002375719256410416,0.0002375719256410416,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_short_trend,0.13183131046761787,-0.00020786136274866945,0.00020786136274866945,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_short_trend,0.2442955410731884,-0.0002076374646722397,0.0002076374646722397,2022-07-11 09:28:00,0.56,0.7052633333333332
comp_active_rate,0.13333333333333333,0.00019930076215514075,0.00019930076215514075,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temperature_std,1.4222655904303643,0.00019855746581185028,0.00019855746581185028,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_std,0.34124217532746776,0.00018369890311294962,0.00018369890311294962,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoirs_mean,8.358110621085268,-0.00014217136391799748,0.00014217136391799748,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_short_trend,2.2108689420406833,0.0001241487051913441,0.0001241487051913441,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_deviation_6h,-0.6295560069287838,-0.00012008803591954397,0.00012008803591954397,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_zscore_6h,-1.2011991940151698,-0.00011890333876480756,0.00011890333876480756,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_avg_1h,8.97018758883795,-9.688548511801259e-05,9.688548511801259e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_std_1h,0.5836878927747731,-9.375070653730533e-05,9.375070653730533e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
oil_temp_zscore_6h,0.806778573760625,5.330552458600785e-05,5.330552458600785e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_std,1.9434219225626805,-3.9272646940148993e-05,3.9272646940148993e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
motor_current_long_trend,0.4929895531625619,3.063283480464697e-05,3.063283480464697e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
pressure_balance_gap,0.0005560455813995446,-2.881647472998617e-05,2.881647472998617e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_long_trend,-0.016686643218070785,-1.739938152015402e-05,1.739938152015402e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
tp3_avg_1h,8.970243518767354,-1.298559063943648e-05,1.298559063943648e-05,2022-07-11 09:28:00,0.56,0.7052633333333332
reservoir_zscore_6h,-1.204182737140015,-2.609598960926184e-06,2.609598960926184e-06,2022-07-11 09:28:00,0.56,0.7052633333333332
lps_active_rate,0.0,0.0,0.0,2022-07-11 09:28:00,0.56,0.7052633333333332
