feature,mean_abs_shap
motor_current_avg_6h,0.0882291093737788
compressor_activity_6h,0.08574343483822493
motor_current_std_6h,0.063875510425743
pressure_switch_active_rate,0.04955734633740175
oil_level_active_rate,0.04768521966290094
flow_deviation_6h,0.045878102455035076
flowmeter_mean,0.043388286212397306
flow_avg_1h,0.04293720016436574
flow_std_6h,0.03924949828368796
flow_std_1h,0.033618012615685165
flow_avg_6h,0.030895468152038853
oil_temp_std_6h,0.02559624786235277
flow_zscore_6h,0.023073652125240825
motor_current_zscore_6h,0.022666293816795004
oil_temp_avg_6h,0.022076081081598236
tp3_std_6h,0.014187784051737708
anomaly_percentile,0.01320416018926001
reservoir_std_6h,0.01244984764072721
oil_temp_deviation_6h,0.012108939595697107
anomaly_flag,0.010016999415399786
oil_temp_avg_1h,0.009448939057755061
oil_temp_long_trend,0.0074206091736796695
anomaly_score,0.006399896827213454
reservoir_avg_6h,0.0058592695102117984
tp3_avg_6h,0.004088944028689727
motor_current_avg_1h,0.003955789003725584
flowmeter_std,0.0035556996813454634
tp2_mean,0.0027340310988994156
oil_temp_std_1h,0.0026635544967923575
compressor_activity_1h,0.002545183998209965
compressor_activity_change,0.002386166066613992
oil_temperature_mean,0.0021289267737148194
oil_temp_short_trend,0.001519875320444887
motor_current_std_1h,0.001061048614406053
motor_current_mean,0.000933276308233352
oil_temp_zscore_6h,0.0009051541620006506
motor_current_short_trend,0.0006600717356012888
motor_current_std,0.0003763951154280178
motor_current_long_trend,0.000356516071207886
reservoirs_std,0.00033422609438595757
tp3_std,0.0002839278733930534
tp2_std,0.0002619145233471166
reservoir_deviation_6h,0.00022591970811956878
tp3_zscore_6h,0.00020836953356749184
reservoir_zscore_6h,0.00018911927613434623
tp3_std_1h,0.00018546826283044265
tp3_short_trend,0.00017468195509261176
tp3_long_trend,0.00011474554278129304
pressure_balance_gap,0.00011393884884451122
reservoirs_mean,0.00010856762467445387
reservoir_avg_1h,0.00010613755533263871
tp3_avg_1h,0.0001000448144873338
oil_temperature_std,9.667712041357899e-05
reservoir_std_1h,8.013752947960803e-05
tp3_mean,6.891330286076493e-05
comp_active_rate,5.2383475798549875e-05
lps_active_rate,0.0
